Country,Innings Player,Country Image,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,BA Williams,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,0,,,,,,,,,,,,,,,
Australia,BCJ Cutting,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,26,,,,,
Australia,BE Young,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,
Australia,BJ Haddin,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,83,62,216,319,81,716,387,634,,181,224,206,,,,
Australia,BJ Hodge,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,7,496,,,,,,,,,,,,
Australia,BM Laird,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,41,51,156,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,BP Julian,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,11,,0,29,184,,,,,,,,,,,,,,,,,,,,
Australia,BR Dorey,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Australia,BW Hilfenhaus,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,0,,,,,,,
Australia,CA Lynn,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,59,
Australia,CG Rackemann,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,2,18,,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,CJ Ferguson,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,,64,,,,,,,,
Australia,CJ McDermott,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,38,112,41,99,34,0,10,29,18,39,11,1,,,,,,,,,,,,,,,,,,,,,,,
Australia,CJ McKay,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,87,88,3,,,,,
Australia,CL White,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,157,79,682,848,271,,,,0,,,35,
